SCHCD,AC_YEAR,TCH_MALE,TCH_FEMALE,TCH_NR,HEADTCH,HTCHNAME,GRADABOVE,TCHWITHPROF,DAYSINVLD,TCHINVLD
29230745109,2016-17,0,0,0,0, ,0,0,0,0
29060121006,2016-17,0,0,0,0, ,0,0,0,0
29031017412,2016-17,0,0,0,0, ,0,0,0,0
29160204507,2016-17,0,0,0,0, ,0,0,0,0
29040412302,2016-17,0,0,0,0, ,0,0,0,0
29040600807,2016-17,0,0,0,0, ,0,0,0,0
29020210103,2016-17,0,0,0,0, ,0,0,0,0
29020115514,2016-17,0,0,0,0, ,0,0,0,0
29031402259,2016-17,0,0,0,0, ,0,0,0,0
29060603412,2016-17,0,0,0,0, ,0,0,0,0
29020901507,2016-17,0,0,0,0, ,0,0,0,0
29140509604,2016-17,0,0,0,0, ,0,0,0,0
29031400221,2016-17,0,0,0,0, ,0,0,0,0
29240103613,2016-17,0,0,0,0, ,0,0,0,0
29031216904,2016-17,0,0,0,0, ,0,0,0,0
29031301410,2016-17,0,0,0,0, ,0,0,0,0
29040107313,2016-17,0,0,0,0, ,0,0,0,0
29300106106,2016-17,0,0,0,0, ,0,0,0,0
29120907112,2016-17,0,0,0,0, ,0,0,0,0
29060501905,2016-17,0,0,0,0, ,0,0,0,0
29090210131,2016-17,0,0,0,0, ,0,0,0,0
29031017302,2016-17,0,0,0,0, ,0,0,0,0
29031017802,2016-17,0,0,0,0, ,0,0,0,0
29040428903,2016-17,0,0,0,0, ,0,0,0,0
29330810839,2016-17,0,0,0,0, ,0,0,0,0
29280208661,2016-17,0,0,0,0, ,0,0,0,0
29090701432,2016-17,0,0,0,0, ,0,0,0,0
29290103429,2016-17,0,0,0,0, ,0,0,0,0
29060807150,2016-17,0,0,0,0, ,0,0,0,0
29130514606,2016-17,0,0,0,0, ,0,0,0,0
29150118415,2016-17,0,0,0,0, ,0,0,0,0
29020913003,2016-17,0,0,0,0, ,0,0,0,0
29120117704,2016-17,0,0,0,0, ,0,0,0,0
29060818208,2016-17,0,0,0,0, ,0,0,0,0
29031300109,2016-17,0,0,0,0, ,0,0,0,0
29031200548,2016-17,0,0,0,0, ,0,0,0,0
29090701721,2016-17,0,0,0,0, ,0,0,0,0
29090205108,2016-17,0,0,0,0, ,0,0,0,0
29300710217,2016-17,0,0,0,0, ,0,0,0,0
29190727002,2016-17,0,0,0,0, ,0,0,0,0
29330811733,2016-17,0,0,0,0, ,0,0,0,0
29180711905,2016-17,0,0,0,0, ,0,0,0,0
29050514503,2016-17,0,0,0,0, ,0,0,0,0
29041108819,2016-17,0,0,0,0, ,0,0,0,0
29021100631,2016-17,0,0,0,0, ,0,0,0,0
29200404502,2016-17,0,0,0,0, ,0,0,0,0
29280600447,2016-17,0,0,0,0, ,0,0,0,0
29050317608,2016-17,0,0,0,0, ,0,0,0,0
29040919112,2016-17,0,0,0,0, ,0,0,0,0
29090604613,2016-17,0,0,0,0, ,0,0,0,0
29310500213,2016-17,0,0,0,0, ,0,0,0,0
29120800105,2016-17,0,0,0,0, ,0,0,0,0
29090603216,2016-17,0,0,0,0, ,0,0,0,0
29080304806,2016-17,0,0,0,0, ,0,0,0,0
29090602613,2016-17,0,0,0,0, ,0,0,0,0
29300905504,2016-17,0,0,0,0, ,0,0,0,0
29150639204,2016-17,0,0,0,0, ,0,0,0,0
29261119005,2016-17,0,0,0,0, ,0,0,0,0
29280208659,2016-17,0,0,0,0, ,0,0,0,0
29021105118,2016-17,0,0,0,0, ,0,0,0,0
29170522002,2016-17,0,0,0,0, ,0,0,0,0
29020705719,2016-17,0,0,0,0, ,0,0,0,0
29031402258,2016-17,0,0,0,0, ,0,0,0,0
29050210308,2016-17,0,0,0,0, ,0,0,0,0
29060807149,2016-17,0,0,0,0, ,0,0,0,0
29090605707,2016-17,0,0,0,0, ,0,0,0,0
29130128907,2016-17,0,0,0,0, ,0,0,0,0
29090111428,2016-17,0,0,0,0, ,0,0,0,0
29120710508,2016-17,0,0,0,0, ,0,0,0,0
29020213113,2016-17,0,0,0,0, ,0,0,0,0
29041108734,2016-17,0,0,0,0, ,0,0,0,0
29120707414,2016-17,0,0,0,0, ,0,0,0,0
29320603104,2016-17,0,0,0,0, ,0,0,0,0
29040535447,2016-17,0,0,0,0, ,0,0,0,0
29110610304,2016-17,0,0,0,0, ,0,0,0,0
29020909104,2016-17,0,0,0,0, ,0,0,0,0
29110520105,2016-17,0,0,0,0, ,0,0,0,0
29041108632,2016-17,0,0,0,0, ,0,0,0,0
29030811332,2016-17,0,0,0,0, ,0,0,0,0
29020902416,2016-17,0,0,0,0, ,0,0,0,0
29100501026,2016-17,0,0,0,0, ,0,0,0,0
29200109314,2016-17,0,0,0,0, ,0,0,0,0
29040534908,2016-17,0,0,0,0, ,0,0,0,0
29140407504,2016-17,0,0,0,0, ,0,0,0,0
29031203404,2016-17,0,0,0,0, ,0,0,0,0
29050416110,2016-17,0,0,0,0, ,0,0,0,0
29090701233,2016-17,0,0,0,0, ,0,0,0,0
29020719207,2016-17,0,0,0,0, ,0,0,0,0
29021105117,2016-17,0,0,0,0, ,0,0,0,0
29191242901,2016-17,0,0,0,0, ,0,0,0,0
29140310416,2016-17,0,0,0,0, ,0,0,0,0
29261115802,2016-17,0,0,0,0, ,0,0,0,0
29060702308,2016-17,0,0,0,0, ,0,0,0,0
29060816814,2016-17,0,0,0,0, ,0,0,0,0
29090603548,2016-17,0,0,0,0, ,0,0,0,0
29090603546,2016-17,0,0,0,0, ,0,0,0,0
